step,original_step,time,ppo_hvac_kwh,grpo_hvac_kwh,ppo_pv_kwh,grpo_pv_kwh,ppo_net_grid_kwh,grpo_net_grid_kwh,ppo_reward,grpo_reward,ppo_mean_setpoint_c,grpo_mean_setpoint_c,ppo_pmv_violation,grpo_pmv_violation
1,1,07:02,8.709,8.4912,2.6105,2.6105,6.0985,5.8808,-0.18295546666666668,-0.17642286666666665,23.912500000000005,24.75,0.0,0.0
2,2,07:12,10.1279,8.8514,3.1658,3.1658,6.9621,5.6856,-0.2088627,-0.17056803333333334,23.500000000000004,25.75,0.0,0.0
3,3,07:22,10.1971,10.294,3.9618,3.9618,6.2353,6.3322,-0.1870587833333333,-0.18996685,23.425000000000004,23.5,0.0,0.0
4,4,07:31,10.419,9.1762,4.8355,4.8355,5.5835,4.3407,-0.16750439999999997,-0.13022246666666668,23.475,25.375,0.0,0.0
5,5,07:41,10.5215,9.501,5.5439,5.5439,4.9777,3.9571,-0.14933006666666668,-0.1187142,23.475,25.387499999999996,0.0,0.0
6,6,07:51,10.8707,9.8973,6.2908,6.2908,4.5799,3.6065,-0.13739778333333333,-0.10819558333333333,23.475,25.237499999999997,0.0,0.0
7,7,08:01,11.2401,10.1883,7.075,7.075,4.1652,3.1133,-0.12495488333333335,-0.09339901666666667,23.35,25.1875,0.0,0.0
8,8,08:11,11.5569,10.4624,7.8852,7.8852,3.6717,2.5772,-0.11015123333333333,-0.0773157,23.4125,25.0125,0.0,0.0
9,9,08:21,11.8792,11.6716,8.7334,8.7334,3.1458,2.9382,-0.09437455,-0.08814575,23.35,24.3125,0.0,0.0
10,10,08:31,11.9968,10.8724,9.6003,9.6003,2.3965,1.2721,-0.0718958,-0.038163533333333326,23.4,24.75,0.0,0.0
11,11,08:42,12.3059,11.0555,10.296,10.296,2.0099,0.7594,-0.06029580000000001,-0.022782800000000002,23.35,24.75,0.0,0.0
12,12,08:52,12.2252,11.876,10.9952,10.9952,1.23,0.8808,-0.036900300000000004,-0.02642256666666667,23.387500000000003,24.375,0.0,0.0
13,13,09:01,12.5713,11.7431,11.6962,11.6962,0.8751,0.0469,-0.026254399999999997,-0.0014078666666666668,23.325000000000003,24.4375,0.0,0.0
14,14,09:12,12.5013,11.74,12.3973,12.3973,0.104,-0.6573,-0.0031205666666666667,0.019718033333333333,23.3125,24.375,0.0,0.0
15,15,09:21,12.5923,11.7742,13.0968,13.0968,-0.5046,-1.3226,0.015137000000000001,0.03967826666666667,23.275,24.375,0.0,0.0
16,16,09:32,12.5261,12.4871,13.7679,13.7679,-1.2418,-1.2808,0.03725503333333333,0.03842376666666667,23.2875,24.0,0.0,0.0
17,17,09:42,12.5262,11.8108,14.3415,14.3415,-1.8153,-2.5307,0.0544582,0.07592140000000001,23.237499999999997,24.125,0.0,0.0
18,18,09:52,12.1594,11.6769,14.9004,14.9004,-2.741,-3.2234,0.08223030000000002,0.09670310000000001,23.4,24.25,0.0,0.0
