step,original_step,time,ppo_hvac_kwh,grpo_hvac_kwh,ppo_pv_kwh,grpo_pv_kwh,ppo_net_grid_kwh,grpo_net_grid_kwh,ppo_reward,grpo_reward,ppo_mean_setpoint_c,grpo_mean_setpoint_c,ppo_pmv_violation,grpo_pmv_violation
19,19,10:02,12.6747,11.8787,15.4433,15.4433,-2.7686,-3.5645,0.08305720000000001,0.10693646666666666,23.1625,24.125,0.0,0.0
20,20,10:12,12.2228,11.4543,15.969,15.969,-3.7463,-4.5147,0.11238773333333332,0.13544173333333334,23.262500000000003,24.325000000000003,0.0,0.0
21,21,10:22,12.3955,11.9412,16.4764,16.4764,-4.081,-4.5352,0.12242856666666665,0.13605543333333334,23.1625,24.174999999999997,0.0,0.0
22,22,10:32,12.2562,12.2524,16.9643,16.9643,-4.7081,-4.7118,0.14124326666666667,0.1413554,23.262500000000003,24.0,0.0,0.0
23,23,10:42,12.4866,12.2579,17.366,17.366,-4.8794,-5.1081,0.14638320000000002,0.15324326666666668,23.1625,23.9375,0.0,0.0
24,24,10:52,12.3229,11.9111,17.7375,17.7375,-5.4146,-5.8264,0.1624389,0.17479150000000002,23.287500000000005,24.1625,0.0,0.0
25,25,11:02,12.6256,14.7395,18.0856,18.0856,-5.4599,-3.346,0.1637981,0.10038096666666667,23.1625,22.825,0.0,0.0
26,26,11:12,12.272,11.8151,18.4092,18.4092,-6.1372,-6.5941,0.1841162,0.19782413333333335,23.287500000000005,23.8125,0.0,0.0
27,27,11:22,12.5834,12.4234,18.7077,18.7077,-6.1243,-6.2842,0.18372826666666664,0.18852733333333332,23.1625,23.875,0.0,0.0
28,28,11:32,12.4191,13.0065,18.98,18.98,-6.5609,-5.9735,0.19682686666666668,0.1792052,23.287500000000005,23.5,0.0,0.0
29,29,11:42,12.7546,14.3277,19.1022,19.1022,-6.3476,-4.7745,0.19042813333333336,0.14323486666666665,23.1625,22.875,0.0,0.0
30,30,11:52,12.5973,11.7598,19.1802,19.1802,-6.5829,-7.4204,0.19748759999999999,0.22261093333333332,23.287500000000005,23.95,0.0,0.0
31,31,12:02,12.9402,13.3404,19.2284,19.2284,-6.2882,-5.888,0.18864453333333334,0.17664100000000002,23.1625,24.0,0.0,0.0
32,32,12:12,12.7434,12.5182,19.2472,19.2472,-6.5039,-6.729,0.1951159333333333,0.20186926666666666,23.287500000000005,23.875,0.0,0.0
33,33,12:22,13.0474,12.9561,19.2371,19.2371,-6.1897,-6.2809,0.18569120000000003,0.18842813333333333,23.1625,23.75,0.0,0.0
34,34,12:32,12.8332,12.8698,19.1984,19.1984,-6.3652,-6.3286,0.19095726666666668,0.18985786666666665,23.287500000000005,23.75,0.0,0.0
35,35,12:42,13.0497,12.4577,18.9957,18.9957,-5.946,-6.538,0.17837973333333332,0.19614093333333332,23.200000000000003,24.0,0.0,0.0
36,36,12:52,12.9411,13.3828,18.7662,18.7662,-5.8251,-5.3834,0.17475406666666668,0.16150286666666666,23.287500000000005,23.675000000000004,0.0,0.0
37,37,13:02,13.2119,13.1466,18.5109,18.5109,-5.299,-5.3643,0.15897013333333335,0.1609296666666667,23.1625,23.625,0.0,0.0
38,38,13:12,13.1249,13.3063,18.2255,18.2255,-5.1005,-4.9192,0.15301599999999999,0.147575,23.287500000000005,23.675,0.0,0.0
39,39,13:22,13.3102,14.7565,17.9067,17.9067,-4.5965,-3.1502,0.1378936666666667,0.09450706666666667,23.200000000000003,23.0,0.0,0.0
40,40,13:33,13.1333,12.7616,17.5657,17.5657,-4.4324,-4.8041,0.1329729666666667,0.1441239,23.287500000000005,23.5625,0.0,0.0
41,41,13:42,13.3739,12.886,17.2605,17.2605,-3.8866,-4.3745,0.11659696666666665,0.13123536666666666,23.1625,23.7625,0.0,0.0
42,42,13:53,13.0546,13.5735,16.9326,16.9326,-3.878,-3.3591,0.11634033333333335,0.1007726,23.287500000000005,23.4375,0.0,0.0
43,43,14:02,13.2991,13.2116,16.621,16.621,-3.3219,-3.4095,0.09965753333333334,0.10228353333333334,23.1625,23.5,0.0,0.0
44,44,14:13,13.0663,12.8516,16.2474,16.2474,-3.1811,-3.3957,0.09543323333333334,0.1018723,23.262500000000003,23.6875,0.0,0.0
45,45,14:22,13.1918,13.3558,15.8405,15.8405,-2.6486,-2.4847,0.07945903333333333,0.07454076666666667,23.200000000000003,23.5,0.0,0.0
46,46,14:33,13.0934,13.4186,15.4146,15.4146,-2.3212,-1.996,0.06963636666666666,0.0598811,23.262500000000003,23.5,0.0,0.0
47,47,14:42,13.2247,12.8507,14.9517,14.9517,-1.7269,-2.1009,0.05180716666666666,0.06302783333333334,23.200000000000003,23.65,0.0,0.0
48,48,14:53,13.1526,13.0904,14.4696,14.4696,-1.317,-1.3792,0.039510666666666666,0.041376,23.262500000000003,23.625,0.0,0.0
49,49,15:02,13.219,13.5458,13.9695,13.9695,-0.7505,-0.4237,0.022514733333333332,0.012711600000000002,23.237499999999997,23.362499999999997,0.0,0.0
50,50,15:13,12.9178,13.2288,13.4521,13.4521,-0.5343,-0.2233,0.0160289,0.006699966666666666,23.425000000000004,23.5,0.0,0.0
51,51,15:22,13.3626,13.3092,12.9184,12.9184,0.4442,0.3907,-0.013325533333333334,-0.011721800000000001,23.3125,23.525,0.0,0.0
52,52,15:33,13.03,13.4623,12.3618,12.3618,0.6682,1.1005,-0.020045966666666665,-0.0330157,23.450000000000003,23.5,0.0,0.0
53,53,15:42,13.3811,13.5547,11.555,11.555,1.826,1.9997,-0.05478120000000001,-0.059990600000000005,23.349999999999998,23.449999999999996,0.0,0.0
54,54,15:53,13.1657,12.8591,10.7602,10.7602,2.4055,2.0989,-0.07216516666666667,-0.06296636666666666,23.4375,23.75,0.0,0.0
55,55,16:05,13.235,13.4139,9.9796,9.9796,3.2555,3.4343,-0.0976641,-0.10302976666666666,23.425000000000004,23.6125,0.0,0.0
56,56,16:13,12.7741,13.0251,9.2072,9.2072,3.5669,3.8179,-0.10700783333333334,-0.11453776666666667,23.462500000000006,23.575,0.0,0.0
57,57,16:23,12.6383,12.5007,8.46,8.46,4.1783,4.0406,-0.12534896666666664,-0.12121863333333334,23.525000000000006,23.75,0.0,0.0
58,58,16:33,12.7689,15.004,7.7332,7.7332,5.0357,7.2709,-0.1510722,-0.21812606666666667,23.475,22.5,0.0,0.0
59,59,16:43,12.6765,12.1155,6.8621,6.8621,5.8144,5.2533,-0.17443175,-0.15760008333333336,23.462500000000006,23.5,0.0,0.0
60,60,16:53,12.486,12.066,6.0366,6.0366,6.4494,6.0294,-0.19348056666666666,-0.18088243333333334,23.512500000000003,23.75,0.0,0.0
61,61,17:02,12.5984,12.4059,5.2657,5.2657,7.3328,7.1403,-0.21998366666666666,-0.2142082,23.475000000000005,23.75,0.0,0.0
62,62,17:13,12.062,12.3041,4.5539,4.5539,7.5082,7.7503,-0.22524518333333332,-0.23250831666666666,23.55,23.637500000000003,0.0,0.0
63,63,17:22,11.8401,12.1553,3.8944,3.8944,7.9457,8.2608,-0.23837028333333332,-0.24782408333333336,23.6125,23.5625,0.0,0.0
64,64,17:32,11.6454,11.6328,3.306,3.306,8.3395,8.3269,-0.25018386666666664,-0.24980553333333333,23.674999999999997,23.75,0.0,0.0
65,65,17:42,11.6325,11.4832,2.6438,2.6438,8.9887,8.8394,-0.26966096666666667,-0.2651828333333333,23.600000000000005,23.8125,0.0,0.0
66,66,17:51,11.2803,11.3247,2.1655,2.1655,9.1148,9.1592,-0.27344541666666666,-0.2747758166666667,23.712500000000002,23.8125,0.0,0.0
